population,lat,lon
8310,-11.87684684,-77.00699389
3762,-11.87691187,-76.99781746
10036,-11.86700595,-77.11703696
39751,-11.8670745,-77.10786149
2108,-11.86721071,-77.0895104
7522,-11.86727837,-77.08033477
10452,-11.86734574,-77.07115908
7903,-11.8674128,-77.06198334
5387,-11.86761221,-77.03445578
3175,-11.86767809,-77.02527982
3099,-11.86774367,-77.0161038
1550,-11.85776141,-77.14449238
9030,-11.85789989,-77.12614234
16286,-11.85796869,-77.11696724
7640,-11.8582409,-77.08026625
10856,-11.85830821,-77.07109087
9851,-11.85837522,-77.06191543
4301,-11.85844194,-77.05273993
1065,-11.85850835,-77.04356438
3561,-11.84865467,-77.15359644
5908,-11.8487243,-77.14442181
5364,-11.84879364,-77.13524712
6527,-11.84886267,-77.12607237
4817,-11.84893142,-77.11689757
3710,-11.84920341,-77.08019779
6724,-11.84927067,-77.07102271
10632,-11.84933763,-77.06184757
3877,-11.83954774,-77.1626999
6546,-11.83961761,-77.15352563
5219,-11.83968719,-77.1443513
7726,-11.83975647,-77.13517691
7172,-11.83982545,-77.12600247
7186,-11.83989414,-77.11682796
2816,-11.83996253,-77.10765341
1941,-11.84009842,-77.08930412
2246,-11.84016592,-77.08012939
1136,-11.84023313,-77.07095461
1393,-11.84036665,-77.05260488
1177,-11.84043296,-77.04342993
4097,-11.83044061,-77.17180276
10769,-11.83051073,-77.16262885
10013,-11.83058055,-77.15345488
6538,-11.83065007,-77.14428085
18333,-11.83071929,-77.13510676
9502,-11.83078822,-77.12593261
3061,-11.83085686,-77.11675841
1963,-11.83099323,-77.09840984
1644,-11.83112843,-77.08006105
2824,-11.83126243,-77.06171203
5009,-11.83139526,-77.04336279
1175,-11.83159226,-77.01583852
1218,-11.82140365,-77.17173146
1421,-11.82147371,-77.16255785
6319,-11.82168211,-77.13503666
1442,-11.82175099,-77.12586282
1731,-11.82209092,-77.07999276
2032,-11.82229133,-77.05247005
2363,-11.81257581,-77.14414011
2234,-11.81264493,-77.13496663
1506,-11.80332971,-77.17158905
4533,-11.78532558,-77.16227445
1227,-11.78539512,-77.15310198
6060,-11.77621875,-77.17137586
3668,-11.77628853,-77.16220374
3753,-11.76718175,-77.17130491
